order_id,order_date,order_time,item_name,category,price,quantity,revenue,hour
1,2023-01-01,2026-01-16 11:38:36,Korean Beef Bowl,Asian,17.95,1,17.95,11
2,2023-01-01,2026-01-16 11:57:40,Tofu Pad Thai,Asian,14.5,1,14.5,11
2,2023-01-01,2026-01-16 11:57:40,Spaghetti,Italian,14.5,1,14.5,11
2,2023-01-01,2026-01-16 11:57:40,Chicken Burrito,Mexican,12.95,1,12.95,11
2,2023-01-01,2026-01-16 11:57:40,Mushroom Ravioli,Italian,15.5,1,15.5,11
2,2023-01-01,2026-01-16 11:57:40,French Fries,American,7.0,1,7.0,11
3,2023-01-01,2026-01-16 12:12:28,Chicken Burrito,Mexican,12.95,1,12.95,12
3,2023-01-01,2026-01-16 12:12:28,Chicken Torta,Mexican,11.95,1,11.95,12
4,2023-01-01,2026-01-16 12:16:31,Chicken Burrito,Mexican,12.95,1,12.95,12
5,2023-01-01,2026-01-16 12:21:30,Chicken Burrito,Mexican,12.95,1,12.95,12
6,2023-01-01,2026-01-16 12:29:36,Hamburger,American,12.95,1,12.95,12
6,2023-01-01,2026-01-16 12:29:36,Potstickers,Asian,9.0,1,9.0,12
7,2023-01-01,2026-01-16 12:50:37,Chips & Guacamole,Mexican,9.0,1,9.0,12
8,2023-01-01,2026-01-16 12:51:37,Chips & Guacamole,Mexican,9.0,1,9.0,12
9,2023-01-01,2026-01-16 12:52:01,Tofu Pad Thai,Asian,14.5,1,14.5,12
9,2023-01-01,2026-01-16 12:52:01,Fettuccine Alfredo,Italian,14.5,1,14.5,12
9,2023-01-01,2026-01-16 12:52:01,Pork Ramen,Asian,17.95,1,17.95,12
9,2023-01-01,2026-01-16 12:52:01,Chicken Burrito,Mexican,12.95,1,12.95,12
9,2023-01-01,2026-01-16 12:52:01,Chicken Burrito,Mexican,12.95,1,12.95,12
9,2023-01-01,2026-01-16 12:52:01,Mushroom Ravioli,Italian,15.5,1,15.5,12
9,2023-01-01,2026-01-16 12:52:01,Chips & Salsa,Mexican,7.0,1,7.0,12
9,2023-01-01,2026-01-16 12:52:01,Shrimp Scampi,Italian,19.95,1,19.95,12
9,2023-01-01,2026-01-16 12:52:01,Eggplant Parmesan,Italian,16.95,1,16.95,12
10,2023-01-01,2026-01-16 13:00:15,Mushroom Ravioli,Italian,15.5,1,15.5,13
10,2023-01-01,2026-01-16 13:00:15,Mac & Cheese,American,7.0,1,7.0,13
11,2023-01-01,2026-01-16 13:02:59,Hamburger,American,12.95,1,12.95,13
11,2023-01-01,2026-01-16 13:02:59,Cheeseburger,American,13.95,1,13.95,13
11,2023-01-01,2026-01-16 13:02:59,Cheeseburger,American,13.95,1,13.95,13
11,2023-01-01,2026-01-16 13:02:59,Edamame,Asian,5.0,1,5.0,13
12,2023-01-01,2026-01-16 13:04:41,Cheeseburger,American,13.95,1,13.95,13
12,2023-01-01,2026-01-16 13:04:41,Cheeseburger,American,13.95,1,13.95,13
12,2023-01-01,2026-01-16 13:04:41,Veggie Burger,American,10.5,1,10.5,13
12,2023-01-01,2026-01-16 13:04:41,Chicken Burrito,Mexican,12.95,1,12.95,13
13,2023-01-01,2026-01-16 13:11:55,Mushroom Ravioli,Italian,15.5,1,15.5,13
14,2023-01-01,2026-01-16 13:14:19,Potstickers,Asian,9.0,1,9.0,13
15,2023-01-01,2026-01-16 13:33:00,Orange Chicken,Asian,16.5,1,16.5,13
15,2023-01-01,2026-01-16 13:33:00,Spaghetti,Italian,14.5,1,14.5,13
15,2023-01-01,2026-01-16 13:33:00,Cheese Quesadillas,Mexican,10.5,1,10.5,13
15,2023-01-01,2026-01-16 13:33:00,Potstickers,Asian,9.0,1,9.0,13
16,2023-01-01,2026-01-16 13:34:07,Spaghetti & Meatballs,Italian,17.95,1,17.95,13
16,2023-01-01,2026-01-16 13:34:07,California Roll,Asian,11.95,1,11.95,13
16,2023-01-01,2026-01-16 13:34:07,French Fries,American,7.0,1,7.0,13
17,2023-01-01,2026-01-16 13:53:00,Hamburger,American,12.95,1,12.95,13
17,2023-01-01,2026-01-16 13:53:00,Steak Tacos,Mexican,13.95,1,13.95,13
17,2023-01-01,2026-01-16 13:53:00,Spaghetti,Italian,14.5,1,14.5,13
17,2023-01-01,2026-01-16 13:53:00,Spaghetti & Meatballs,Italian,17.95,1,17.95,13
17,2023-01-01,2026-01-16 13:53:00,Chicken Burrito,Mexican,12.95,1,12.95,13
17,2023-01-01,2026-01-16 13:53:00,Meat Lasagna,Italian,17.95,1,17.95,13
17,2023-01-01,2026-01-16 13:53:00,Cheese Lasagna,Italian,15.5,1,15.5,13
17,2023-01-01,2026-01-16 13:53:00,Mushroom Ravioli,Italian,15.5,1,15.5,13
17,2023-01-01,2026-01-16 13:53:00,Steak Burrito,Mexican,14.95,1,14.95,13
17,2023-01-01,2026-01-16 13:53:00,Chicken Parmesan,Italian,17.95,1,17.95,13
18,2023-01-01,2026-01-16 13:57:08,California Roll,Asian,11.95,1,11.95,13
19,2023-01-01,2026-01-16 13:59:09,Pork Ramen,Asian,17.95,1,17.95,13
19,2023-01-01,2026-01-16 13:59:09,Steak Torta,Mexican,13.95,1,13.95,13
20,2023-01-01,2026-01-16 14:03:08,Orange Chicken,Asian,16.5,1,16.5,14
20,2023-01-01,2026-01-16 14:03:08,Spaghetti,Italian,14.5,1,14.5,14
21,2023-01-01,2026-01-16 14:14:29,Pork Ramen,Asian,17.95,1,17.95,14
22,2023-01-01,2026-01-16 14:16:26,Spaghetti,Italian,14.5,1,14.5,14
22,2023-01-01,2026-01-16 14:16:26,Pork Ramen,Asian,17.95,1,17.95,14
22,2023-01-01,2026-01-16 14:16:26,Mac & Cheese,American,7.0,1,7.0,14
23,2023-01-01,2026-01-16 14:19:03,Mac & Cheese,American,7.0,1,7.0,14
24,2023-01-01,2026-01-16 14:23:01,Hamburger,American,12.95,1,12.95,14
24,2023-01-01,2026-01-16 14:23:01,Pork Ramen,Asian,17.95,1,17.95,14
